,name,faction,role,link
0,Ralph Brinkhaus,cducsu,Fraktionsvorsitzender,https://www.bundestag.de/abgeordnete/biografien/B/brinkhaus_ralph-518692
1,Alexander Dobrindt,cducsu,Erster Stellvertretender Fraktionsvorsitzender,https://www.bundestag.de/abgeordnete/biografien/D/dobrindt_alexander-519076
2,Gitta Connemann,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/C/connemann_gitta-518902
3,Thorsten Frei,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/F/frei_thorsten-519532
4,Hermann Gröhe,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/G/groehe_hermann-519870
5,Andreas Jung,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/webarchiv/abgeordnete/biografien18/J/jung_andreas-258538
6,Ulrich Lange,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/L/lange_ulrich-521486
7,Dr. Katja Leikert,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/L/leikert_katja-521554
8,Dr. Carsten Linnemann,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/L/linnemann_carsten-521654
9,Nadine Schön,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/S/schoen_nadine-523428
10,Stephan Stracke,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/S/stracke_stephan-523926
11,Arnold Vaatz,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/V/vaatz_arnold-524242
12,Dr. Johann David Wadephul,cducsu,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/W/wadephul_johann-524332
13,Michael Grosse-Brömer,cducsu,Erster Parlamentarischer Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/G/grosse_broemer_michael-519894
14,Stefan Müller,cducsu,Stellvertreter des Ersten Parlamentarischen Geschäftsführers,https://www.bundestag.de/abgeordnete/biografien/M/mueller_stefan-522218
15,Heike Brehmer,cducsu,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/B/brehmer_heike-518658
16,Manfred Grund,cducsu,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/G/grund_manfred-519946
17,Patrick Schnieder,cducsu,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/S/schnieder_patrick-523412
18,Eckhardt Rehberg,cducsu,Sprecher der CDU-Landesgruppen,https://www.bundestag.de/abgeordnete/biografien/R/rehberg_eckhardt-522826
19,Michael Brand,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/B/brand_michael-518618
20,Marie-Luise Dött,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/D/doett_marie_luise-519098
21,Eberhard Gienger,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/G/gienger_eberhard-519728
22,Florian Hahn,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/H/hahn_florian-520046
23,Jürgen Hardt,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/H/hardt_juergen-520110
24,Volkmar Klein,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/K/klein_volkmar-521070
25,Paul Lehrieder,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/L/lehrieder_paul-521542
26,Karin Maag,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/M/maag_karin-521780
27,Dr. Mathias Middelberg,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/M/middelberg_mathias-522026
28,Elisabeth Motschmann,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/M/motschmann_elisabeth-522132
29,Henning Otte,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/O/otte_henning-522506
30,Dr. Joachim Pfeiffer,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/P/pfeiffer_joachim-522616
31,Eckhardt Rehberg,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/R/rehberg_eckhardt-522826
32,Albert Rupprecht,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/R/rupprecht_albert-523090
33,Tankred Schipanski,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/S/schipanski_tankred-523278
34,Albert Stegemann,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/S/stegemann_albert-523834
35,Gero Storjohann,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/S/storjohann_gero-523920
36,Antje Tillmann,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/T/tillmann_antje-524124
37,Kai Wegner,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/W/wegner_kai-524464
38,Marcus Weinberg,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/W/weinberg_marcus-524490
39,Peter Weiß,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/W/weiss_peter-524514
40,Elisabeth Winkelmeier-Becker,cducsu,Vorsitzende der Arbeitsgruppen/Sprecher/Obleute,https://www.bundestag.de/abgeordnete/biografien/W/winkelmeier_becker_elisabeth-524618
41,Christian Haase,cducsu,Vorsitzende der sechs soziologischen Gruppen,https://www.bundestag.de/abgeordnete/biografien/H/haase_christian-519998
42,Emmi Zeulner,cducsu,Vorsitzende der sechs soziologischen Gruppen,https://www.bundestag.de/abgeordnete/biografien/Z/zeulner_emmi-524762
43,Yvonne Magwas,cducsu,Vorsitzende der sechs soziologischen Gruppen,https://www.bundestag.de/abgeordnete/biografien/M/magwas_yvonne-521800
44,Eckhard Pols,cducsu,Vorsitzende der sechs soziologischen Gruppen,https://www.bundestag.de/abgeordnete/biografien/P/pols_eckhard-522682
45,"Uwe, Schummer",cducsu,Vorsitzende der sechs soziologischen Gruppen,https://www.bundestag.de/abgeordnete/biografien/S/schummer_uwe-523544
46,Christian Freiherr von Stetten,cducsu,Vorsitzende der sechs soziologischen Gruppen,https://www.bundestag.de/abgeordnete/biografien/S/stetten_christian-523882
47,Axel E. Fischer,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/F/fischer_axel-519454
48,Olav Gutting,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/G/gutting_olav-519978
49,Fritz Güntzler,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/G/guentzler_fritz-519962
50,Matthias Heider,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/H/heider_matthias-520192
51,Thomas Heilmann,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/H/520204-520204
52,Mark Helfrich,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/H/helfrich_mark-520256
53,Rudolf​​​​​​​ Henke,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/H/henke_rudolf-520294
54,Karl​​​​​​​ Holmeier,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/H/holmeier_karl-520494
55,Roderich​​​​​​​ Kiesewetter,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/K/kiesewetter_roderich-520990
56,Jan​​​​​​​ Metzler,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/M/metzler_jan-521988
57,Dr. h. c. Hans Michelbach,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/M/michelbach_hans-522016
58,Carsten​​​​​​​ Müller,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/M/mueller_carsten-522166
59,Michaela​​​​​​​ Noll,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/N/noll_michaela-522382
60,Johannes Röring,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/R/roering_johannes-522980
61,Jana​​​​​​​ Schimke,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/S/schimke_jana-523268
62,Tino​​​​​​​ Sorge,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/S/sorge_tino-523744
63,Prof. Dr. Matthias Zimmer,cducsu,Beisitzer,https://www.bundestag.de/abgeordnete/biografien/Z/zimmer_matthias-524810
64,Rolf Mützenich,spd,Fraktionsvorsitzender,https://www.bundestag.de/abgeordnete/biografien/M/muetzenich_rolf-522238
65,Sören Bartol,spd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/B/bartol_soeren-518170
66,Bärbel Bas,spd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/B/bas_baerbel-518186
67,Gabriela Heinrich,spd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/H/heinrich_gabriela-520238
68,Dirk Wiese,spd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/W/wiese_dirk-524592
69,Katja Mast,spd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/M/mast_katja-521890
70,Dr. Matthias Miersch,spd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/M/miersch_matthias-522030
71,Achim Post (Minden),spd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/P/post_achim-522694
72,Carsten Schneider (Erfurt),spd,Parlamentarische Geschäftsführer(innen),https://www.bundestag.de/abgeordnete/biografien/S/schneider_carsten-523400
73,Gabriele Katzmarek,spd,Parlamentarische Geschäftsführer(innen),https://www.bundestag.de/abgeordnete/biografien/K/katzmarek_gabriele-520884
74,Marianne Schieder,spd,Parlamentarische Geschäftsführer(innen),https://www.bundestag.de/abgeordnete/biografien/S/schieder_marianne-523244
75,Dagmar Ziegler,spd,Parlamentarische Geschäftsführer(innen),https://www.bundestag.de/abgeordnete/biografien/Z/ziegler_dagmar-524770
76,Josephine Ortleb,spd,Parlamentarische Geschäftsführer(innen),https://www.bundestag.de/abgeordnete/biografien/O/522474-522474
77,Sonja Amalie Steffen,spd,Justiziariat/Mitgliedschaft kraft Amtes,https://www.bundestag.de/abgeordnete/biografien/S/steffen_sonja-523824
78,Ingrid Arndt-Brauer,spd,Erweiterter Vorstand,https://www.bundestag.de/abgeordnete/biografien/A/arndt_brauer_ingrid-517974
79,Dr. Matthias Bartke,spd,Erweiterter Vorstand,https://www.bundestag.de/abgeordnete/biografien/B/bartke_matthias-518164
80,Leni Breymaier,spd,Erweiterter Vorstand,https://www.bundestag.de/abgeordnete/biografien/B/518680-518680
81,Bernhard Daldrup,spd,Erweiterter Vorstand,https://www.bundestag.de/abgeordnete/biografien/D/daldrup_bernhard-518964
82,Dr. Karamba Diaby,spd,Erweiterter Vorstand,https://www.bundestag.de/abgeordnete/biografien/D/diaby_karamba-519016
83,Sabine Dittmar,spd,Erweiterter Vorstand,https://www.bundestag.de/abgeordnete/biografien/D/dittmar_sabine-519068
84,Dr. Johannes Fechner,spd,Erweiterter Vorstand,https://www.bundestag.de/abgeordnete/biografien/F/fechner_johannes-519374
85,Sebastian Hartmann,spd,Erweiterter Vorstand,https://www.bundestag.de/abgeordnete/biografien/H/hartmann_sebastian-520118
86,Thomas Hitschler,spd,Erweiterter Vorstand,https://www.bundestag.de/abgeordnete/biografien/H/hitschler_thomas-520406
